content_id,subject,sentiment_value,sentiment_word
XuPwKCnA2fqNh5vm,价格,,
2jNbDn85goX3IuPE,价格,,
hLgEADQ8sUnvGFK9,价格,,
nZmM7LQsfr03wUaz,价格,,
pwd8MnrthDqLZafe,价格,,
cudSKGTyMLbIt8k3,价格,,
U5RMQtopwFzDVxHm,价格,,
Kh0ayJjuTrzwPAs1,价格,,
YZovRtEAyQJgTi1I,价格,,
BeSIAUzoTWH9muYl,配置,,
SXYTBWg6FxuboMnd,配置,,
RDgTmzW9xBfY6pGv,配置,,
8cMwzsxkL4XtuDG1,配置,,
MOUrvjDsIJpbw6dQ,配置,,
t01PVoDSd9Lsy5HN,配置,,
icMQmPJA9Sv0KGTw,舒适性,,
VQkjM1657sIroCf3,舒适性,,
1rGSYnOx9Fb2ULQX,配置,,
SgNFp8ixQX1HA64y,价格,,
sO6Ac1mThYBKyl4M,舒适性,,
qIUiOxGdb0M4PQky,油耗,,
6GMYQa0Ag4o9nsZ2,油耗,,
6Ewe2kxO5msAg0yU,动力,,
PMeBcRxizIaNmAC7,油耗,,
9x4gvon6TfN0KtqY,油耗,,
Er3x8Ks6mpQqeZO0,油耗,,
f5UhrHg6Zztl7VWj,价格,,
fYtbApDWqzGmKX8F,舒适性,,
YUWFxTOoZCkNzKcu,舒适性,,
hNVSLDr06cMsgwfI,舒适性,,
aV6A5z8pJRkKIC9r,内饰,,
E9SZbnzR2XW0QiLs,内饰,,
DXhAOZEsTBVWaSRH,舒适性,,
6p8glZ2iewsInqK4,舒适性,,
AWsymeHLSU1f38tT,安全性,,
l94kJgMBpYoODyzQ,安全性,,
bVeAzdpgX7tFDlPI,安全性,,
lQ0N8fd4On7TzcsD,安全性,,
jhmIcH6LTxkGVE19,安全性,,
68jBJULyWclT9Pir,安全性,,
7prF9LJoixSgPQvM,安全性,,
Q4lp0HBNfTD2xYAv,操控,,
M3Hqx1Un8ygzFTtl,操控,,
cIevXAM5FRp14Nni,操控,,
8jCcfemUlPaQFx67,动力,,
ZqEa9wGAXNCDRoph,动力,,
SHbyJ2RM9oi4ZtdD,动力,,
vNgGz3Kfj1qCe92E,动力,,
9eqiWkfr8HNR0xPo,动力,,
sAtwDdFoc06XgaW9,动力,,
23EJ8RwY9PcotslQ,动力,,
oKdBRimU38Gjc9PJ,动力,,
zsADXh4cYeUjEKSP,动力,,
Q2LaKeht0Vvo1Rn6,动力,,
hszDKcUSek9dyP5o,动力,,
Mb7fevclI1UmTzo3,动力,,
rgv1ykaC29JoQlcu,动力,,
EKI7PjFs81Lc52uS,动力,,
5b2XhIBYPOCfMzcu,动力,,
n2Fm18vbEDIa53ys,动力,,
Mq4oVg68SWFBz9i5,动力,,
7hHUfbrVKp1aAFmN,动力,,
qvD82LNTpMdsAXIe,动力,,
sKPpYiV2bXWEjTLc,空间,,
KaM0rQpCE7yLYgH2,空间,,
g1qaKmR09LUXcp8B,外观,,
OKVCfRJ8X9BwxaTv,配置,,
tcPLeKdDrkYG1394,价格,,
siYq5vrJBQzkuZPy,外观,,
aLs9AwhZ85vgiRbx,配置,,
UneE7iqV6mW5HlgP,舒适性,,
8P6E32xNmKAebnOs,油耗,,
j2vcEXIrmkH9qs1J,动力,,
CshiU6A13rR9dbPS,舒适性,,
6JZHOqne2YW01FVz,舒适性,,
kFo7T8n6wXICfc3d,操控,,
4nAlYpJof87Nj1F3,操控,,
v6iprjTLdctoJW3b,操控,,
RF9YTAlbQU5CagdN,舒适性,,
DYhuU8SPpywX2eN9,动力,,
Aml1h4xUJt5u6bQ9,动力,,
hcWAJdmC9avz7MU1,操控,,
9Jt0O5d3s6wz1lkf,舒适性,,
ZgEVkuFc0QNqpsYG,舒适性,,
QRw7ngTJ2A5CYBGW,油耗,,
06vPIQBqVNe2dl3f,油耗,,
p0FUwsNPYQKl1HSg,安全性,,
BDoeHPlCiNVXEvrg,价格,,
ARIng69ZHsY7DCN1,动力,,
zPg9hyoViI8JUYw6,油耗,,
cBMxouh5FEnz36DI,价格,,
Q6aR7udCFz4U5jrI,油耗,,
y3Oa1dcwCjlBsRPM,动力,,
6ALsOa4BdUbFfGr7,动力,,
e04NZMmVT1qLJXIu,动力,,
9Lkxm8NewpuUVG2T,安全性,,
SEFvD0TOQgnlJsWK,操控,,
S1WzLCPqeIT8sMmZ,配置,,
MSn1hW8XCsGTkpxY,舒适性,,
AC9siSxTEzyKrlaZ,舒适性,,
5rBkYEyl1IU0TVhC,操控,,
WZmFIHJLqT3O1BVk,空间,,
x6mbO2rHfU3hTej4,内饰,,
8Hdtp2WE6nMf93YP,动力,,
ELck8IARbwdpgvri,价格,,
HfSMToNXhrwY3mlk,动力,,
rM6sP4AXpCfNc7xR,价格,,
14dQnL9lxMYeksH3,配置,,
vdWmiISbRku1Cl3J,价格,,
41UzNi5pMPDG7nhf,外观,,
NAC6vpWtqaTQYXD8,舒适性,,
HAVTYESJNfjlZ9iM,价格,,
42VhMRSsCcn85kEd,动力,,
Wf9T283SZphL6tQ4,配置,,
D2HpBfqwoecTkhdS,配置,,
NT3qf2R5XrGonlgk,油耗,,
dm1W2BIEyJ0Gsxp8,配置,,
Mglj9pKWkY7Isixm,配置,,
otT6DmhdEpx5Q74R,配置,,
SclmZXYIUoBv478b,油耗,,
BZ4Ig9Gr7zQPM6Xt,动力,,
FLxPweOVGBTmnoQE,舒适性,,
H903fh4mU1dtQTiZ,舒适性,,
g27EQ5F4bMjSp9qc,价格,,
o9iwO8ChDBUTJ7YI,内饰,,
tka3Nq9TAR5BH7Ij,价格,,
lswKvJMLT50iudoG,舒适性,,
QG07en46S5qxWUud,油耗,,
u3gf4yJX5SNGmhIs,舒适性,,
